Location_ID,Business_Account_Number,Ownership_Name,DBA Name,Street_Address,City,State,Zip_Code,Business_Start_Date,Location Start Date,Mail_Address,Mail_City_State_Zip,Class Code,PBC Code
0024815-01-001,24815,SHAWA MONZER,SAMS,618 BROADWAY ST,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,618 BROADWAY,SAN FRANCISCO CA 94133-4406,8,3079
0025258-01-001,25258,SCOMAS RESTAURANT INC,SCOMAS RESTAURANT INC,PIER 47,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,47 PIER,SAN FRANCISCO CA 94133-1004,8,5800
0027895-01-001,27895,SWISS LOUIS RESTAURANT INC,SWISS LOUIS RESTAURANT INC,PIER 39 204,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,39 PIER #160,SAN FRANCISCO CA 94133-0000,8,5800
0027948-01-001,27948,TADICH GRILL INC,TADICH GRILL INC,240 CALIFORNIA ST,San Francisco,CA,94111,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,240 CALIFORNIA ST,SAN FRANCISCO CA 94111-4361,8,5800
0027950-01-002,27950,TADS INC,TADS INC,120 POWELL ST,San Francisco,CA,94102,10/01/1968 12:00:00 AM,12/13/2011 12:00:00 AM,728 PACIFIC AVE #602,SAN FRANCISCO CA 94133-4449,8,5800
0028046-01-001,28046,TARANTINOS INC,TARANTINOS INC,206 JEFFERSON ST,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,206 JEFFERSON ST,SAN FRANCISCO CA 94133-1106,8,5800
0028448-01-001,28448,TIA MARGARITA INC,TIA MARGARITA INC,300 19TH AVE,San Francisco,CA,94121,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,300 19TH AV,SAN FRANCISCO CA 94121-2305,8,5800
0029436-01-001,29436,UPTONS INC,UPTONS CATERING,2435 LOMBARD ST,San Francisco,CA,94123,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,845 CENTRAL AVE,ALAMEDA CA 94501-,8,5800
0029798-02-001,29798,VICTORIA PASTRY CO,VICTORIA PASTRY CO,700 FILBERT ST,San Francisco,CA,94133,10/01/1968 12:00:00 AM,06/01/2012 12:00:00 AM,700 FILBERT STREET,SAN FRANCISCO CA 94133-2704,8,5800
0044933-04-001,44933,"ARAMARK SERVICES, INC.","ARAMARK SERVICES, INC",101 HOWARD ST,San Francisco,CA,94105,01/01/2002 12:00:00 AM,01/01/2002 12:00:00 AM,PO BOX 13477,PHILADELPHIA PA 19101-,8,5800
0044933-05-001,44933,"ARAMARK SERVICES, INC.",ARAMARK AT GRACE CATHEDRAL,1100 CALIFORNIA ST,San Francisco,CA,94108,01/01/2002 12:00:00 AM,11/17/2003 12:00:00 AM,PO BOX 13477,PHILADELPHIA PA 19101-,8,5800
0044933-06-001,44933,"ARAMARK SERVICES, INC.",ARAMARK CORPORATION 6085,1675 OWENS ST 251,San Francisco,CA,94158,01/01/2002 12:00:00 AM,06/27/2005 12:00:00 AM,PO BOX 13477,PHILADELPHIA PA 19101-,8,5800
0044933-07-001,44933,"ARAMARK SERVICES, INC.",ARAMARK CORPORATION 5773,800 AIRPORT BLVD 15,San Francisco,CA,94128,01/01/2002 12:00:00 AM,05/21/2009 12:00:00 AM,PO BOX 13477,PHILADELPHIA PA 19101-,8,5800
0044933-08-001,44933,"ARAMARK SERVICES, INC.",ARAMARK CORPORATION,640 POLK ST 102,San Francisco,CA,94102,01/01/2002 12:00:00 AM,01/01/2011 12:00:00 AM,PO BOX 13477,PHILADELPHIA PA 19101-,8,5800
0046224-02-999,46224,SUPER CROWN CATERING INC,SUPER CROWN CATERING INC,1381 LOWRIE AVE,S SAN FRAN,CA,94080,10/01/1968 12:00:00 AM,01/05/2012 12:00:00 AM,1381 LOWRIE AVE,S SAN FRAN CA 94080-6403,8,5800
0051017-01-001,51017,HONTALAS DEMOSTHENES,LOUIS RESTAURANT,902 POINT LOBOS AVE,San Francisco,CA,94121,01/01/1969 12:00:00 AM,01/01/1969 12:00:00 AM,902 POINT LOBOS AV,SAN FRANCISCO CA 94121-1448,8,5812
0051805-01-001,51805,HARMAN GUY & MARY INC,KENTUCKY FRIED CHICKEN,2101 LOMBARD ST,San Francisco,CA,94123,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,5544 SOUTH GREEN ST,MURRAY UT 84123-5798,8,5800
0052911-01-001,52911,"HARMAN NGUYEN, INC",KENTUCKY FRIED CHICKEN,691 EDDY ST,San Francisco,CA,94109,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,5544 SOUTH GREEN ST,MURRAY UT 84123-5798,8,5800
0053101-01-003,53101,GAP STORES INC,GAP THE #113,STONES TOWN GALLERIA,San Francisco,CA,94132,12/10/1970 12:00:00 AM,12/30/2002 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-01-004,53101,GAP STORES INC,GAP THE #113,3 SACRAMENTO ST,San Francisco,CA,94111,12/10/1970 12:00:00 AM,01/01/2009 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-01-005,53101,GAP STORES INC,GAP THE #113,890 MARKET ST,San Francisco,CA,94102,12/10/1970 12:00:00 AM,01/01/2009 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-02-001,53101,GAP STORES INC,GAP THE,3251 20TH AVE,San Francisco,CA,94132,12/10/1970 12:00:00 AM,11/26/1973 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-10-001,53101,GAP STORES INC,GAPKIDS #9604,3491 CALIFORNIA ST,San Francisco,CA,94118,12/10/1970 12:00:00 AM,09/22/1987 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-11-001,53101,GAP STORES INC,GAP INC THE #143,3 EMBARCADERO CTR,San Francisco,CA,94111,12/10/1970 12:00:00 AM,09/22/1987 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-14-001,53101,GAP STORES INC,GAP STORES INC,2040 CHESTNUT ST,San Francisco,CA,94123,12/10/1970 12:00:00 AM,01/01/1991 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-16-001,53101,GAP STORES INC,GAP STORES INC,1 HARRISON ST,San Francisco,CA,94105,12/10/1970 12:00:00 AM,01/01/1991 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
